stock_id,date,eps
1232,2023-09-30,1.69
1232,2023-12-31,2.06
1232,2024-03-31,1.76
1232,2024-06-30,2.66
1232,2024-09-30,1.6
1232,2024-12-31,2.22
1232,2025-03-31,1.93
1232,2025-06-30,2.0
1232,2025-09-30,1.91
1232,2025-12-31,2.41
1233,2017-03-31,0.5
1233,2017-06-30,0.44
1233,2017-09-30,0.54
1233,2017-12-31,0.46
1233,2018-03-31,0.43
1233,2018-06-30,0.61
1233,2018-09-30,0.52
1233,2018-12-31,0.37
1233,2019-03-31,0.49
1233,2019-06-30,0.46
1233,2019-09-30,0.43
1233,2019-12-31,0.35
1233,2020-03-31,0.08
1233,2020-06-30,0.06
1233,2020-09-30,0.27
1233,2020-12-31,0.22
1233,2021-03-31,0.18
1233,2021-06-30,-0.17
1233,2021-09-30,0.22
1233,2021-12-31,0.25
1233,2022-03-31,0.19
1233,2022-06-30,0.03
1233,2022-09-30,0.09
1233,2022-12-31,0.26
1233,2023-03-31,0.35
1233,2023-06-30,0.33
1233,2023-09-30,0.21
1233,2023-12-31,0.17
1233,2024-03-31,0.37
1233,2024-06-30,0.23
1233,2024-09-30,0.12
1233,2024-12-31,0.25
1233,2025-03-31,0.27
1233,2025-06-30,0.14
1233,2025-09-30,0.14
1234,2017-03-31,0.22
1234,2017-06-30,0.18
1234,2017-09-30,0.73
1234,2017-12-31,0.22
1234,2018-03-31,0.3
1234,2018-06-30,0.42
1234,2018-09-30,0.71
1234,2018-12-31,0.3
1234,2019-03-31,0.41
1234,2019-06-30,0.39
1234,2019-09-30,0.9
1234,2019-12-31,0.41
1234,2020-03-31,0.27
1234,2020-06-30,0.43
1234,2020-09-30,1.09
1234,2020-12-31,0.43
1234,2021-03-31,0.33
1234,2021-06-30,0.4
1234,2021-09-30,0.61
1234,2021-12-31,0.64
1234,2022-03-31,0.31
1234,2022-06-30,0.44
1234,2022-09-30,0.98
1234,2022-12-31,0.48
1234,2023-03-31,0.47
1234,2023-06-30,0.51
1234,2023-09-30,0.94
1234,2023-12-31,0.44
1234,2024-03-31,0.44
1234,2024-06-30,0.62
1234,2024-09-30,0.91
1234,2024-12-31,0.39
1234,2025-03-31,0.61
1234,2025-06-30,0.35
1234,2025-09-30,0.61
1235,2017-03-31,0.66
1235,2017-06-30,1.1
1235,2017-09-30,3.39
1235,2017-12-31,0.08
1235,2018-03-31,0.15
1235,2018-06-30,0.18
1235,2018-09-30,1.47
1235,2018-12-31,-0.55
1235,2019-03-31,-0.42
1235,2019-06-30,-0.14
1235,2019-09-30,1.1
1235,2019-12-31,-0.05
1235,2020-03-31,-0.17
1235,2020-06-30,0.05
1235,2020-09-30,0.95
1235,2020-12-31,-0.18
1235,2021-03-31,-0.13
1235,2021-06-30,-0.21
1235,2021-09-30,1.2
1235,2021-12-31,-0.05
1235,2022-03-31,0.24
1235,2022-06-30,0.22
1235,2022-09-30,0.93
1235,2022-12-31,-0.08
1235,2023-03-31,1.08
1235,2023-06-30,-0.77
1235,2023-09-30,1.59
1235,2023-12-31,-0.8
1235,2024-03-31,0.41
1235,2024-06-30,0.6
1235,2024-09-30,0.65
1235,2024-12-31,-1.58
1235,2025-03-31,0.12
1235,2025-06-30,0.59
1235,2025-09-30,-0.12
1236,2017-03-31,-0.07
1236,2017-06-30,-0.3
1236,2017-09-30,0.13
1236,2017-12-31,0.29
1236,2018-03-31,0.31
1236,2018-06-30,-0.47
1236,2018-09-30,-0.17
1236,2018-12-31,0.45
1236,2019-03-31,0.08
1236,2019-06-30,-0.48
1236,2019-09-30,0.1
1236,2019-12-31,0.45
1236,2020-03-31,0.13
1236,2020-06-30,-0.49
1236,2020-09-30,0.22
1236,2020-12-31,0.14
1236,2021-03-31,0.57
1236,2021-06-30,-0.68
1236,2021-09-30,-0.13
1236,2021-12-31,-0.01
1236,2022-03-31,3.89
1236,2022-06-30,-0.33
1236,2022-09-30,0.13
1236,2022-12-31,0.22
1236,2023-03-31,0.03
1236,2023-06-30,-0.16
1236,2023-09-30,0.26
1236,2023-12-31,0.03
1236,2024-03-31,0.09
1236,2024-06-30,-0.3
1236,2024-09-30,0.0
1236,2024-12-31,-0.07
1236,2025-03-31,0.06
1236,2025-06-30,-0.58
1236,2025-09-30,0.29
1236,2025-12-31,-0.2
1256,2017-03-31,1.59
1256,2017-06-30,3.52
1256,2017-09-30,4.15
1256,2017-12-31,0.75
1256,2018-03-31,2.13
1256,2018-06-30,5.08
1256,2018-09-30,5.26
1256,2018-12-31,1.88
1256,2019-03-31,2.96
1256,2019-06-30,5.2
1256,2019-09-30,5.5
1256,2019-12-31,2.54
1256,2020-03-31,0.35
1256,2020-06-30,6.26
1256,2020-09-30,11.62
1256,2020-12-31,4.76
1256,2021-03-31,5.88
1256,2021-06-30,6.98
1256,2021-09-30,7.78
1256,2021-12-31,0.3
1256,2022-03-31,1.31
